Time,Size,Sex,Total
19974.32229104674,3197,F,10892
19974.328941978372,3198,F,10893
19974.37760067945,3199,F,10887
19974.386886291977,3200,F,10889
19974.3893665471,3201,F,10890
19974.422702619955,3202,F,10888
19974.426338036905,3203,F,10886
19974.431721181416,3204,F,10887
19974.4724340866,3205,F,10889
19974.518013198754,3206,F,10890
19974.518569265925,3207,F,10891
19974.52558193241,3208,F,10892
19974.54617853054,3209,F,10892
19974.568395519644,3210,F,10892
19974.589566618055,3211,F,10888
19974.59917155375,3212,F,10885
19974.63377293852,3213,F,10883
19974.64598478322,3214,F,10879
19974.662190244304,3215,F,10877
19974.664913951805,3216,F,10878
19974.66616161974,3217,F,10879
19974.669222460947,3218,F,10880
19974.67090841071,3219,F,10881
19974.68688254058,3220,F,10877
19974.713956267777,3221,F,10879
19974.725128621452,3222,F,10879
19974.744998509108,3223,F,10880
19974.752628152335,3224,F,10880
19974.75273283954,3225,F,10881
19974.77351912914,3226,F,10884
19974.785540232573,3227,F,10885
19974.786436320504,3228,F,10885
19974.828335582843,3229,F,10889
19974.83021381103,3230,F,10891
19974.84757064207,3231,F,10889
19974.852733863212,3232,F,10889
19974.853250620148,3233,F,10890
19974.859881344062,3234,F,10891
19974.893364154377,3235,F,10891
19974.898857521624,3236,F,10893
19974.915906116687,3237,F,10892
19974.920386431633,3238,F,10895
19974.947611815387,3239,F,10890
19974.95748440396,3240,F,10895
19974.975939487656,3241,F,10894
19974.999956608623,3242,F,10894
19975.010913269194,3243,F,10892
19975.047168357403,3244,F,10894
19975.050627368626,3245,F,10895
19975.058265519263,3246,F,10899
19975.080219399242,3247,F,10893
19975.09960041825,3248,F,10891
19975.1029697348,3249,F,10892
19975.111502289157,3250,F,10894
19975.116902676255,3251,F,10894
19975.123268112446,3252,F,10894
19975.133716640576,3253,F,10892
19975.148213876022,3254,F,10893
19975.163579096727,3255,F,10893
19975.17907586766,3256,F,10896
19975.192108182924,3257,F,10900
19975.194950112844,3258,F,10902
19975.20159028681,3259,F,10904
19975.226789534834,3260,F,10905
19975.238976546287,3261,F,10904
19975.23925091714,3262,F,10905
19975.291979846952,3263,F,10902
19975.306846047257,3264,F,10901
19975.308685231557,3265,F,10902
19975.326958941965,3266,F,10903
19975.34322004993,3267,F,10905
19975.35913148216,3268,F,10905
19975.374162178174,3269,F,10902
19975.42021882835,3270,F,10901
19975.431244968775,3271,F,10900
19975.469672025654,3272,F,10904
19975.498333182757,3273,F,10902
19975.498650734142,3274,F,10903
19975.518604855464,3275,F,10904
19975.52132599291,3276,F,10903
19975.52272621558,3277,F,10904
19975.554553455942,3278,F,10901
19975.57272045248,3279,F,10901
19975.574730868477,3280,F,10903
19975.608237637698,3281,F,10906
19975.626304001125,3282,F,10907
19975.678684980674,3283,F,10902
19975.697229295736,3284,F,10902
19975.71037700431,3285,F,10903
19975.754088794423,3286,F,10902
19975.795150452806,3287,F,10899
